"Area","FYear","Quarter","Species","Landed_kg","Released_kg","NumQuarterc","QuarterIDc","TotalCatch"
"5AB",1956,"Apr-Jun",222,506898,0,1,19561,506898
"5AB",1956,"Jul-Sep",222,633679.2,0,2,19562,633679.2
"5AB",1956,"Oct-Dec",222,329767.2,0,3,19563,329767.2
"5AB",1956,"Jan-Mar",222,240181.2,0,4,19564,240181.2
"5AB",1957,"Apr-Jun",222,1062331.2,0,1,19571,1062331.2
"5AB",1957,"Jul-Sep",222,851407.2,0,2,19572,851407.2
"5AB",1957,"Oct-Dec",222,589906.8,0,3,19573,589906.8
"5AB",1957,"Jan-Mar",222,121111.2,0,4,19574,121111.2
"5AB",1958,"Apr-Jun",222,672008.4,0,1,19581,672008.4
"5AB",1958,"Jul-Sep",222,288716.4,0,2,19582,288716.4
"5AB",1958,"Oct-Dec",222,96163.2,0,3,19583,96163.2
"5AB",1958,"Jan-Mar",222,64864.8,0,4,19584,64864.8
"5AB",1959,"Apr-Jun",222,596257.2,0,1,19591,596257.2
"5AB",1959,"Jul-Sep",222,238820.4,0,2,19592,238820.4
"5AB",1959,"Oct-Dec",222,46494,0,3,19593,46494
"5AB",1959,"Jan-Mar",222,55339.2,0,4,19594,55339.2
"5AB",1960,"Apr-Jun",222,297334.8,0,1,19601,297334.8
"5AB",1960,"Jul-Sep",222,237006,0,2,19602,237006
"5AB",1960,"Oct-Dec",222,28803.6,0,3,19603,28803.6
"5AB",1960,"Jan-Mar",222,25855.2,0,4,19604,25855.2
"5AB",1961,"Apr-Jun",222,177584.4,0,1,19611,177584.4
"5AB",1961,"Jul-Sep",222,23360.4,0,2,19612,23360.4
"5AB",1961,"Oct-Dec",222,12927.6,0,3,19613,12927.6
"5AB",1961,"Jan-Mar",222,45360,0,4,19614,45360
"5AB",1962,"Apr-Jun",222,154677.6,0,1,19621,154677.6
"5AB",1962,"Jul-Sep",222,202305.6,0,2,19622,202305.6
"5AB",1962,"Oct-Dec",222,19958.4,0,3,19623,19958.4
"5AB",1962,"Jan-Mar",222,14968.8,0,4,19624,14968.8
"5AB",1963,"Apr-Jun",222,293932.8,0,1,19631,293932.8
"5AB",1963,"Jul-Sep",222,336571.2,0,2,19632,336571.2
"5AB",1963,"Oct-Dec",222,31298.4,0,3,19633,31298.4
"5AB",1963,"Jan-Mar",222,40824,0,4,19634,40824
"5AB",1964,"Apr-Jun",222,503496,0,1,19641,503496
"5AB",1964,"Jul-Sep",222,522547.2,0,2,19642,522547.2
"5AB",1964,"Oct-Dec",222,207748.8,0,3,19643,207748.8
"5AB",1964,"Jan-Mar",222,20412,0,4,19644,20412
"5AB",1965,"Apr-Jun",222,1026043.2,0,1,19651,1026043.2
"5AB",1965,"Jul-Sep",222,576072,0,2,19652,576072
"5AB",1965,"Oct-Dec",222,317066.4,0,3,19653,317066.4
"5AB",1965,"Jan-Mar",222,63504,0,4,19654,63504
"5AB",1966,"Apr-Jun",222,782913.6,0,1,19661,782913.6
"5AB",1966,"Jul-Sep",222,647287.2,0,2,19662,647287.2
"5AB",1966,"Oct-Dec",222,317066.4,0,3,19663,317066.4
"5AB",1966,"Jan-Mar",222,63504,0,4,19664,63504
"5AB",1967,"Apr-Jun",222,716688,0,1,19671,716688
"5AB",1967,"Jul-Sep",222,494877.6,0,2,19672,494877.6
"5AB",1967,"Oct-Dec",222,225892.8,0,3,19673,225892.8
"5AB",1967,"Jan-Mar",222,48535.2,0,4,19674,48535.2
"5AB",1968,"Apr-Jun",222,557474.4,0,1,19681,557474.4
"5AB",1968,"Jul-Sep",222,284860.8,0,2,19682,284860.8
"5AB",1968,"Oct-Dec",222,69400.8,0,3,19683,69400.8
"5AB",1968,"Jan-Mar",222,68493.6,0,4,19684,68493.6
"5AB",1969,"Apr-Jun",222,283046.4,0,1,19691,283046.4
"5AB",1969,"Jul-Sep",222,259459.2,0,2,19692,259459.2
"5AB",1969,"Oct-Dec",222,87998.4,0,3,19693,87998.4
"5AB",1969,"Jan-Mar",222,21319.2,0,4,19694,21319.2
"5AB",1970,"Apr-Jun",222,135172.8,0,1,19701,135172.8
"5AB",1970,"Jul-Sep",222,99792,0,2,19702,99792
"5AB",1970,"Oct-Dec",222,42638.4,0,3,19703,42638.4
"5AB",1970,"Jan-Mar",222,453.6,0,4,19704,453.6
"5AB",1971,"Apr-Jun",222,450424.8,0,1,19711,450424.8
"5AB",1971,"Jul-Sep",222,384199.2,0,2,19712,384199.2
"5AB",1971,"Oct-Dec",222,92988,0,3,19713,92988
"5AB",1972,"Apr-Jun",222,1279605.6,0,1,19721,1279605.6
"5AB",1972,"Jul-Sep",222,834624,0,2,19722,834624
"5AB",1972,"Oct-Dec",222,189151.2,0,3,19723,189151.2
"5AB",1972,"Jan-Mar",222,112039.2,0,4,19724,112039.2
