"FYear","SumQuarterMean","SumQMeanXCatch","Annual_Catch","NumQuarters","AnnualMeanWeight_A","AnnualMeanWeight_B"
1956,6.43013818486953,2800488.70962087,1380758.4,3,2.02822500273825,2.14337939495651
1957,6.5999861841301,4345553.32021421,2034849.6,3,2.13556486937128,2.19999539471003
1958,5.64742817157879,2670499.4335484,960724.8,2,2.77967159122821,2.82371408578939
1959,5.21463394927988,2187802.70179119,835077.6,2,2.61987951992867,2.60731697463994
1960,9.57146182100972,1867300.52231962,563144.4,3,3.31584673898848,3.19048727366991
1961,10.7815655289522,884434.917044822,246304.8,3,3.59081478332871,3.59385517631741
1962,11.5824628450067,1601656.11914243,371952,3,4.30608282558617,3.86082094833558
1963,4.98495925535075,1576316.63884417,630504,2,2.5000898310624,2.49247962767538
1964,7.24916966715456,3057396.18973613,1233792,3,2.47804831749285,2.41638988905152
1965,9.98767257377679,5337663.30028042,1982685.6,4,2.69213802747164,2.4969181434442
1966,9.96116997180947,4588572.75199009,1810771.2,4,2.53404336891932,2.49029249295237
1967,11.9335560593309,4306108.02120013,1485993.6,4,2.89779715148177,2.98338901483274
1968,8.22873684968497,2469769.8535724,910828.8,3,2.71156319779568,2.74291228322832
1969,7.54898178429031,1689713.08968825,630504,3,2.67994031709276,2.5163272614301
1970,4.01711082449763,471886.98285,234964.8,2,2.00833053653143,2.00855541224882
1971,5.48653375577048,2238890.93784986,834624,2,2.68251444704424,2.74326687788524
1972,8.52624001487865,6561341.81211213,2415420,4,2.71643929921593,2.13156000371966
1973,4.05914876906708,3570328.87802993,1730937.6,2,2.06265602990537,2.02957438453354
1974,4.67472600762316,5011044.73840247,2116951.2,2,2.36710451256622,2.33736300381158
1975,4.07385319443139,4382588.14332233,2150064,2,2.0383524133804,2.0369265972157
1976,7.93614015519581,4559641.21483046,1960459.2,3,2.32580265625036,2.64538005173194
1977,7.4234482991533,2696936.44533425,1246039.2,3,2.1644073840809,2.47448276638443
1978,6.97752078556478,4435184.12683058,1891058.4,3,2.34534487503431,2.32584026185493
1979,6.9946402260682,4040628.3985589,1852956,3,2.18063915093445,2.33154674202273
1980,6.78656752986126,2629111.57653519,1168927.2,3,2.24916622398314,2.26218917662042
1981,8.23858781325926,1861439.39435756,811057.55834,4,2.29507681078442,2.05964695331482
1982,5.61120764131579,1232323.71245704,579224.34905,3,2.1275412790885,1.87040254710526
1983,2.35926308058462,214735.104422383,91017.87172,1,2.35926308058462,2.35926308058462
NA,NA,NA,NA,NA,NA,NA
1985,5.74456313472276,462802.972834281,166229.70154,2,2.78411720978105,2.87228156736138
1986,3.50687955481416,247914.452014488,139824.91155,2,1.77303492822762,1.75343977740708
1987,4.90178265318509,4855166.27599878,3171921.8899,3,1.53067018814636,1.6339275510617
NA,NA,NA,NA,NA,NA,NA
1989,2.00561051185735,485523.134334166,242082.4639,1,2.00561051185735,2.00561051185735
1990,6.45025876074131,1156365.3724847,514517.37275,3,2.24747585548791,2.15008625358044
1991,7.48177678097424,3992492.1513603,2203230.0645,4,1.81210860167994,1.87044419524356
NA,NA,NA,NA,NA,NA,NA
1993,1.6685502138633,272436.271218184,163277.2385,1,1.6685502138633,1.6685502138633
1994,8.76817719605728,1247504.68645196,453043.1824,3,2.75361099099492,2.92272573201909
NA,NA,NA,NA,NA,NA,NA
1996,2.38475407799393,196275.491213895,82304.29,1,2.38475407799393,2.38475407799393
1997,4.58488292859394,276783.224002376,113799.46,2,2.43220155879804,2.29244146429697
1998,7.07596186790545,336955.354070215,164944.78,4,2.04283733059158,1.76899046697636
1999,4.70198254357705,294985.082850083,107006.77,2,2.75669551421918,2.35099127178853
2000,6.67193627809774,149518.147157848,47107.72,2,3.17396272113887,3.33596813904887
2001,1.1868927813626,34851.7929446269,77733.54,2,0.448349489096044,0.593446390681298
2002,5.88834029903637,358845.063823788,190376.31,3,1.88492498790311,1.96278009967879
2003,7.40456008596036,756180.125354651,350850.46,4,2.15527756570321,1.85114002149009
2004,5.99879049173493,657336.980895739,405714.81,4,1.62019469019566,1.49969762293373
2005,8.83454461160258,768280.665748403,347361.25,4,2.21176272755929,2.20863615290065
2006,7.41501782694933,516326.377289229,203528.07,3,2.53688042779175,2.47167260898311
2007,3.13151381213967,131798.756459304,55326.8,2,2.38218650743047,1.56575690606984
2008,2.45880717788221,19761.7326518033,29964.98,3,0.659494271372893,0.819602392627402
2009,4.42432647078193,176190.080504325,122217.96,3,1.44160547684093,1.47477549026064
2010,5.98792982819899,723236.545655088,491434.97,4,1.47168311130787,1.49698245704975
2011,6.69956778178889,814397.303342017,362712.86,3,2.24529481348419,2.2331892605963
2012,7.92821152963868,492190.084513559,174523.14,3,2.8201995707478,2.64273717654623
