"FYear","SumQuarterMean","SumQMeanXCatch","Annual_Catch","NumQuarters","AnnualMeanWeight_A","AnnualMeanWeight_B"
1956,7.20811090294889,4999062.58586386,1974294,3,2.53207606661615,2.4027036343163
1957,7.17185528851372,7783837.17654523,3118953.6,3,2.49565661270024,2.39061842950457
1958,10.7387377775499,15087931.3554422,5701525.2,4,2.64629740748005,2.68468444438747
1959,9.88055742731508,8891970.19012685,3515400,4,2.52943340448508,2.47013935682877
1960,10.0005385860886,6160669.67144599,2390925.6,4,2.57668815434742,2.50013464652215
1961,10.529975588388,4116269.80280817,1520694,4,2.70683635419629,2.63249389709699
1962,9.73820955197483,5213085.58603781,2055715.2,4,2.53589874027191,2.43455238799371
1963,8.89540872125264,6147725.91625702,2658096,4,2.31283065632581,2.22385218031316
1964,8.70319617725872,13804651.1466194,6323637.6,4,2.18302376256025,2.17579904431468
1965,10.7292384143913,23501454.3324356,8869694.4,4,2.64963518161748,2.68230960359782
1966,11.0624093693758,24926693.0166392,8959960.8,4,2.78200915975427,2.76560234234396
1967,10.3169086557306,13795706.0526665,5336150.4,4,2.58532931393136,2.57922716393264
1968,11.9204474775949,11244619.5807831,3950856,4,2.84612235444246,2.98011186939871
1969,10.6808280007481,7133758.0695065,2570097.6,4,2.77567593911862,2.67020700018704
1970,11.9326409663546,3591385.14499261,1186617.6,4,3.02657329959762,2.98316024158864
1971,7.25279353150648,3047908.52700232,1261915.2,3,2.41530375971565,2.41759784383549
1972,7.92019950309058,5482200.05505028,2893514.4,4,1.89465103579588,1.98004987577264
1973,9.35223250418338,8782088.28800958,3821580,4,2.29802549940328,2.33805812604585
1974,9.13398899433832,11690943.1089139,5245430.4,4,2.22878624200483,2.28349724858458
1975,9.86625869581207,13562923.6482407,5408726.4,4,2.50760024545532,2.46656467395302
1976,9.49536701646423,9648445.33356998,4165862.4,4,2.31607393791259,2.37384175411606
1977,7.54923190133136,6657543.2821035,3460514.4,4,1.92385943607213,1.88730797533284
1978,10.0593587600112,5646607.22947749,2297030.4,4,2.45822050482113,2.5148396900028
1979,8.61849137763511,12012977.1841164,5498992.8,4,2.1845777256003,2.15462284440878
1980,6.52298482268508,6947440.98943242,3173839.2,3,2.18897069184615,2.17432827422836
1981,7.7341416657683,5101867.14804708,2640915.7094,4,1.9318553522506,1.93353541644207
1982,10.0009373157196,6636216.00157378,2508225.982,4,2.64578074272328,2.50023432892989
1983,8.40926996665843,6062832.86998828,2226560.8272,3,2.72295856278607,2.80308998888614
1984,9.52741978507911,4209514.12221948,1717936.5871,4,2.45033149292515,2.38185494626978
1985,8.58006249838542,2844138.9001847,966798.5123,3,2.94181141571943,2.86002083279514
1986,9.30969505486925,10256864.144512,3715121.10952,4,2.76084247111859,2.32742376371731
1987,6.60555525125331,16032115.4382693,9506138.528,4,1.68650134763419,1.65138881281333
1988,10.0110092494827,15558244.0278088,6175134.2644,4,2.51949890668822,2.50275231237069
1989,8.77074568738037,9092794.76434511,3149365.8713,3,2.88718273326299,2.92358189579346
1990,9.08210649565357,8073712.74685163,3395906.7405,4,2.37748364834745,2.27052662391339
1991,9.39077045942527,17757037.58658,7684266.5337,4,2.31083051436399,2.34769261485632
1992,8.51546241417225,14158165.8792395,5034320.5116,3,2.81232906141284,2.83848747139075
1993,11.6550999491859,10505214.0536171,3378837.4312,4,3.10912089365782,2.91377498729648
1994,10.2087946618863,3656121.68109873,1070831.4433,3,3.41428308252846,3.40293155396211
1995,6.10453314430389,3133246.98435793,1007954.2774,2,3.10852094644618,3.05226657215195
1996,8.80822668182418,3308179.49283643,1066258.32,3,3.10260602968747,2.93607556060806
1997,9.87217222524218,3651461.27386905,1111765.12,3,3.28438193300133,3.29072407508073
1998,8.38872213506134,2441227.45864983,834813.92,3,2.9242773750704,2.79624071168711
1999,8.09073003123628,1442153.86452729,554942.92,3,2.59874270407358,2.69691001041209
2000,12.3775139747592,1568367.45963565,513977.89,4,3.0514298185777,3.0943784936898
2001,10.9483601661866,638484.913783621,214130.58,4,2.98175493562676,2.73709004154665
2002,9.39247670331345,628181.423289201,270527.01,4,2.3220654502824,2.34811917582836
2003,8.0176130775641,1040328.7564735,458339.92,4,2.2697755772037,2.00440326939102
2004,11.5421140235379,1534471.57213479,556302.31,4,2.75834118347413,2.88552850588447
2005,12.5026748691415,2340445.07914167,738463.88,4,3.16934266188033,3.12566871728538
2006,11.1499898707777,2027811.26174276,683965.86,4,2.96478432672466,2.78749746769442
2007,12.670892373905,998315.677407106,302471.2,4,3.3005313478014,3.16772309347625
2008,11.9164673329392,772669.750663766,278110.37,4,2.77828457336476,2.97911683323481
2009,8.25964668151459,1336383.17765853,497478.81,3,2.6863117600095,2.75321556050486
2010,12.5709216873894,3256858.43209367,1003749.06,4,3.2446938800557,3.14273042184736
2011,14.1637669483575,2879143.56804026,869121.34,4,3.31270610389138,3.54094173708937
2012,10.0867939098878,2187328.67295677,680847.22,3,3.21265712586265,3.36226463662927
