"Area","FYear","Quarter","Species","Landed_kg","Released_kg","NumQuarterc","QuarterIDc","TotalCatch"
"5CD",1956,"Apr-Jun",222,752068.8,0,1,19561,752068.8
"5CD",1956,"Jul-Sep",222,177130.8,0,2,19562,177130.8
"5CD",1956,"Oct-Dec",222,43318.8,0,3,19563,43318.8
"5CD",1956,"Jan-Mar",222,1045094.4,0,4,19564,1045094.4
"5CD",1957,"Apr-Jun",222,658400.4,0,1,19571,658400.4
"5CD",1957,"Jul-Sep",222,132224.4,0,2,19572,132224.4
"5CD",1957,"Oct-Dec",222,483537.6,0,3,19573,483537.6
"5CD",1957,"Jan-Mar",222,1977015.6,0,4,19574,1977015.6
"5CD",1958,"Apr-Jun",222,1980871.2,0,1,19581,1980871.2
"5CD",1958,"Jul-Sep",222,537062.4,0,2,19582,537062.4
"5CD",1958,"Oct-Dec",222,706935.6,0,3,19583,706935.6
"5CD",1958,"Jan-Mar",222,2476656,0,4,19584,2476656
"5CD",1959,"Apr-Jun",222,880210.8,0,1,19591,880210.8
"5CD",1959,"Jul-Sep",222,1168700.4,0,2,19592,1168700.4
"5CD",1959,"Oct-Dec",222,599205.6,0,3,19593,599205.6
"5CD",1959,"Jan-Mar",222,867283.2,0,4,19594,867283.2
"5CD",1960,"Apr-Jun",222,542505.6,0,1,19601,542505.6
"5CD",1960,"Jul-Sep",222,760233.6,0,2,19602,760233.6
"5CD",1960,"Oct-Dec",222,189604.8,0,3,19603,189604.8
"5CD",1960,"Jan-Mar",222,898581.6,0,4,19604,898581.6
"5CD",1961,"Apr-Jun",222,383065.2,0,1,19611,383065.2
"5CD",1961,"Jul-Sep",222,223171.2,0,2,19612,223171.2
"5CD",1961,"Oct-Dec",222,110678.4,0,3,19613,110678.4
"5CD",1961,"Jan-Mar",222,803779.2,0,4,19614,803779.2
"5CD",1962,"Apr-Jun",222,193687.2,0,1,19621,193687.2
"5CD",1962,"Jul-Sep",222,561103.2,0,2,19622,561103.2
"5CD",1962,"Oct-Dec",222,130636.8,0,3,19623,130636.8
"5CD",1962,"Jan-Mar",222,1170288,0,4,19624,1170288
"5CD",1963,"Apr-Jun",222,904932,0,1,19631,904932
"5CD",1963,"Jul-Sep",222,627328.8,0,2,19632,627328.8
"5CD",1963,"Oct-Dec",222,224985.6,0,3,19633,224985.6
"5CD",1963,"Jan-Mar",222,900849.6,0,4,19634,900849.6
"5CD",1964,"Apr-Jun",222,2038478.4,0,1,19641,2038478.4
